City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Touros,BR,77.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
7,San Quintin,MX,79.29,clear sky,30.48,-115.95,Old Mill Hotel
9,Hilo,US,84.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
18,Salalah,OM,77.0,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
25,Semnan,IR,75.31,clear sky,35.57,53.4,Semnan Tourist Hotel
30,Vaini,TO,77.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
31,Jamestown,US,82.0,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
32,Lorengau,PG,82.58,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
34,Albany,US,84.99,clear sky,42.6,-73.97,
35,Kapaa,US,86.0,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
36,Boquira,BR,81.41,broken clouds,-12.82,-42.73,Restaurante e Pousada Boquira
37,San Patricio,MX,89.6,broken clouds,19.22,-104.7,Hotel Cabo Blanco
40,Ajaccio,FR,77.0,clear sky,42.0,8.92,Sole E Monte
42,Yarada,IN,80.6,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
45,Banda Aceh,ID,78.39,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
47,Hithadhoo,MV,82.87,clear sky,-0.6,73.08,Scoop Guest House
48,Auki,SB,82.54,overcast clouds,-8.77,160.7,Auki Motel
51,Baherden,TM,82.87,clear sky,38.44,57.43,
53,Nantucket,US,75.0,broken clouds,41.28,-70.1,Jared Coffin House
55,Alim,PH,79.16,light rain,9.56,122.49,Calamai Tropica
62,Beruwala,LK,78.46,light rain,6.48,79.98,The Palms Hotel
63,Dhidhdhoo,MV,83.17,few clouds,6.88,73.1,Dhidhoo beach
64,Cozumel,MX,86.0,broken clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
65,Kirakira,SB,83.1,overcast clouds,-10.45,161.92,SanBiz Lodge
68,Pangai,TO,78.8,few clouds,-19.8,-174.35,Ha'apai Beach Resort
71,Atuona,PF,78.17,light rain,-9.8,-139.03,Villa Enata
76,Butaritari,KI,83.03,overcast clouds,3.07,172.79,Isles Sunset Lodge
82,Shenjiamen,CN,80.11,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
94,Chabahar,IR,84.2,broken clouds,25.29,60.64,هتل گدروشیا
96,Hambantota,LK,78.8,scattered clouds,6.12,81.12,Bungalow 63
102,Lizzano,IT,82.99,clear sky,40.39,17.45,La Nuova Fattoria - Lizzano (TA)
104,Kavieng,PG,82.96,clear sky,-2.57,150.8,Nusa Island Retreat
106,Manaure,CO,84.18,broken clouds,11.78,-72.44,Del mar vendra
107,Correntina,BR,81.36,broken clouds,-13.34,-44.64,Hotel Pousada dos Sonhos
111,Kandrian,PG,78.89,light rain,-6.22,149.55,Kandrian Station
129,Birjand,IR,82.4,clear sky,32.87,59.22,Birjand Tourist Hotel
134,Canico,PT,75.2,scattered clouds,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
141,Portland,US,78.01,few clouds,45.52,-122.68,Portland Marriott City Center
145,Camacari,BR,78.8,few clouds,-12.7,-38.32,Sítio Blasi
150,Brookhaven,US,89.6,clear sky,31.58,-90.44,Americas Best Value Inn Brookhaven
153,Rosarito,MX,87.8,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
155,Najran,SA,86.0,clear sky,17.49,44.13,محمد هادي ال فطيح
157,Half Moon Bay,US,87.01,smoke,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
161,Avarua,CK,77.0,few clouds,-21.21,-159.78,Paradise Inn
166,Neiafu,TO,80.6,scattered clouds,-18.65,-173.98,Mystic Sands
171,Padang,ID,77.88,overcast clouds,-0.95,100.35,Mercure Padang
173,Sarangani,PH,83.5,few clouds,5.4,125.46,Ballistic Islet
176,Pitimbu,BR,75.2,few clouds,-7.47,-34.81,Reserva do Abiaí
177,Bengkulu,ID,75.16,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
179,Hobyo,SO,75.81,overcast clouds,5.35,48.53,Osmani Hotel
181,Vaitape,PF,77.99,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
182,Thinadhoo,MV,82.78,light rain,0.53,72.93,
186,Morehead,US,86.0,moderate rain,37.27,-87.18,CCI Express Inn
189,Uvira,CD,76.3,broken clouds,-3.41,29.15,Auberge Eden City
192,Harper,LR,75.83,broken clouds,4.38,-7.72,Screensaver
