,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Touros,BR,-5.2,-35.46,77.0,83,75,10.29,broken clouds
1,Upernavik,GL,72.79,-56.15,44.08,71,85,10.58,overcast clouds
2,Leningradskiy,RU,69.38,178.42,49.05,76,4,4.0,clear sky
3,Eucaliptus,BO,-17.58,-67.52,55.33,36,0,8.39,clear sky
4,Ituacu,BR,-13.81,-41.3,74.59,58,43,9.95,scattered clouds
5,Cape Town,ZA,-33.93,18.42,53.01,93,3,6.93,clear sky
6,Russell,US,32.35,-85.2,91.4,49,1,6.93,clear sky
7,San Quintin,MX,30.48,-115.95,79.29,66,1,9.48,clear sky
8,Moshenskoye,RU,58.51,34.59,56.14,80,99,5.32,overcast clouds
9,Hilo,US,19.73,-155.09,84.2,66,90,6.93,overcast clouds
10,Bagdarin,RU,54.43,113.6,52.7,91,100,3.85,moderate rain
11,Mar Del Plata,AR,-38.0,-57.56,59.0,64,0,9.17,clear sky
12,Bani Walid,LY,31.76,13.99,71.28,78,0,5.77,clear sky
13,Dikson,RU,73.51,80.55,47.89,75,95,7.61,overcast clouds
14,Rikitea,PF,-23.12,-134.97,66.92,72,84,19.17,broken clouds
15,Mataura,NZ,-46.19,168.86,46.0,98,98,3.0,overcast clouds
16,Nemuro,JP,43.32,145.57,61.97,80,1,9.06,clear sky
17,Coihaique,CL,-45.58,-72.07,51.8,57,75,8.05,broken clouds
18,Salalah,OM,17.02,54.09,77.0,100,90,4.7,light intensity drizzle
19,Constitucion,CL,-35.33,-72.42,54.5,89,7,13.09,clear sky
20,Emerald,AU,-23.53,148.17,48.2,43,0,8.05,clear sky
21,Fairbanks,US,64.84,-147.72,71.6,43,20,6.93,few clouds
22,Antofagasta,CL,-23.65,-70.4,57.2,71,75,10.29,broken clouds
23,Punta Arenas,CL,-53.15,-70.92,41.0,65,40,32.21,scattered clouds
24,Ushuaia,AR,-54.8,-68.3,44.6,56,40,17.22,shower rain
25,Semnan,IR,35.57,53.4,75.31,38,0,10.27,clear sky
26,Ilebo,CD,-4.32,20.58,73.47,86,98,2.08,light rain
27,Zhetysay,KZ,40.73,68.3,66.04,27,0,3.24,clear sky
28,Bredasdorp,ZA,-34.53,20.04,53.6,87,9,5.82,clear sky
29,Hanover,DE,52.37,9.73,66.0,72,99,6.93,overcast clouds
30,Vaini,TO,-21.2,-175.2,77.0,88,40,10.29,scattered clouds
31,Jamestown,US,42.1,-79.24,82.0,51,20,8.05,few clouds
32,Lorengau,PG,-2.02,147.27,82.58,75,71,1.45,broken clouds
33,Busselton,AU,-33.65,115.33,48.99,87,38,9.66,scattered clouds
34,Albany,US,42.6,-73.97,84.99,44,0,6.71,clear sky
35,Kapaa,US,22.08,-159.32,86.0,62,20,13.87,few clouds
36,Boquira,BR,-12.82,-42.73,81.41,31,73,5.88,broken clouds
37,San Patricio,MX,19.22,-104.7,89.6,75,75,11.41,broken clouds
38,Lena,ES,43.1,-5.73,66.2,82,75,2.44,broken clouds
39,Airai,TL,-8.93,125.41,57.78,48,79,4.07,broken clouds
40,Ajaccio,FR,42.0,8.92,77.0,83,0,3.36,clear sky
41,Severo-Kurilsk,RU,50.68,156.12,52.18,82,38,12.68,scattered clouds
42,Yarada,IN,17.65,83.27,80.6,88,75,5.82,mist
43,Vila Franca Do Campo,PT,37.72,-25.43,73.4,83,20,4.7,few clouds
44,New Norfolk,AU,-42.78,147.06,45.0,88,98,3.31,light rain
45,Banda Aceh,ID,5.56,95.32,78.39,78,95,6.24,overcast clouds
46,Thompson,CA,55.74,-97.86,53.6,66,75,9.17,broken clouds
47,Hithadhoo,MV,-0.6,73.08,82.87,80,9,15.03,clear sky
48,Auki,SB,-8.77,160.7,82.54,75,100,5.77,overcast clouds
49,Tarnogskiy Gorodok,RU,60.5,43.58,56.25,91,0,3.4,clear sky
50,Andenes,NO,69.31,16.12,57.2,93,100,6.93,overcast clouds
51,Baherden,TM,38.44,57.43,82.87,51,0,2.08,clear sky
52,Bambous Virieux,MU,-20.34,57.76,71.6,73,40,11.41,scattered clouds
53,Nantucket,US,41.28,-70.1,75.0,88,75,8.05,broken clouds
54,Hobart,AU,-42.88,147.33,45.0,81,75,6.93,broken clouds
55,Alim,PH,9.56,122.49,79.16,84,99,1.59,light rain
56,Preeceville,CA,51.95,-102.67,69.3,73,69,15.35,broken clouds
57,Pervomayskiy,RU,53.25,40.29,56.39,82,0,3.91,clear sky
58,Bluff,NZ,-46.6,168.33,46.0,98,100,3.0,overcast clouds
59,Geraldton,AU,-28.77,114.6,59.0,87,90,5.82,overcast clouds
60,Laguna,US,38.42,-121.42,93.2,36,40,3.67,haze
61,Srednekolymsk,RU,67.45,153.68,36.39,93,100,11.77,overcast clouds
62,Beruwala,LK,6.48,79.98,78.46,85,94,2.84,light rain
63,Dhidhdhoo,MV,6.88,73.1,83.17,72,11,6.82,few clouds
64,Cozumel,MX,20.51,-86.95,86.0,70,75,5.82,broken clouds
65,Kirakira,SB,-10.45,161.92,83.1,76,100,10.71,overcast clouds
66,Hare Bay,CA,48.85,-54.01,66.2,48,75,9.17,broken clouds
67,Ostrovnoy,RU,68.05,39.51,58.68,75,0,16.44,clear sky
68,Pangai,TO,-19.8,-174.35,78.8,88,20,13.87,few clouds
69,Ilulissat,GL,69.22,-51.1,46.4,61,0,2.24,clear sky
70,Khatanga,RU,71.97,102.5,49.1,73,0,7.14,clear sky
71,Atuona,PF,-9.8,-139.03,78.17,79,48,18.57,light rain
72,Birao,CF,10.28,22.79,71.76,96,74,4.74,moderate rain
73,Swan River,CA,52.11,-101.27,62.19,81,93,12.01,overcast clouds
74,Quatre Cocos,MU,-20.21,57.76,71.6,73,40,11.41,scattered clouds
75,Belmonte,BR,-15.86,-38.88,69.8,88,90,3.36,overcast clouds
76,Butaritari,KI,3.07,172.79,83.03,63,100,7.07,overcast clouds
77,Clyde River,CA,70.47,-68.59,50.5,70,93,7.07,overcast clouds
78,Oranjemund,NA,-28.55,16.43,59.49,51,0,5.86,clear sky
79,Souillac,MU,-20.52,57.52,71.6,73,40,11.41,scattered clouds
80,Asau,RO,46.43,26.4,60.01,94,0,2.3,clear sky
81,Ouesso,CG,1.61,16.05,73.94,86,100,0.67,overcast clouds
82,Shenjiamen,CN,29.96,122.3,80.11,86,0,7.02,clear sky
83,Moron,AR,-34.65,-58.62,60.01,30,0,5.01,clear sky
84,Barrow,US,71.29,-156.79,42.8,87,90,23.04,overcast clouds
85,Yellowknife,CA,62.46,-114.35,59.0,58,75,14.99,broken clouds
86,Usinsk,RU,65.99,57.53,46.22,93,68,7.14,broken clouds
87,Mount Isa,AU,-20.73,139.5,53.6,43,5,8.05,clear sky
88,Zhangye,CN,38.93,100.45,61.47,72,100,5.77,overcast clouds
89,Ihosy,MG,-22.4,46.12,59.34,88,63,10.09,broken clouds
90,Qaanaaq,GL,77.48,-69.36,38.16,83,100,2.44,overcast clouds
91,Norman Wells,CA,65.28,-126.83,68.0,56,40,13.87,scattered clouds
92,Bereda,ES,43.27,-7.54,61.0,90,22,1.99,few clouds
93,Komsomolskiy,UZ,40.43,71.72,71.6,46,0,6.93,clear sky
94,Chabahar,IR,25.29,60.64,84.2,83,52,6.91,broken clouds
95,Poco Verde,BR,-10.71,-38.18,67.64,82,9,6.55,clear sky
96,Hambantota,LK,6.12,81.12,78.8,100,40,2.24,scattered clouds
97,Esperance,AU,-33.87,121.9,50.0,87,40,10.29,scattered clouds
98,Vestmannaeyjar,IS,63.44,-20.27,52.18,75,11,6.89,few clouds
99,Cejkovice,CZ,48.91,16.94,70.0,73,100,10.29,light rain
100,Kodiak,US,57.79,-152.41,60.8,72,1,8.05,clear sky
101,Port Alfred,ZA,-33.59,26.89,59.85,67,0,10.29,clear sky
102,Lizzano,IT,40.39,17.45,82.99,69,0,2.73,clear sky
103,Vardo,NO,70.37,31.11,58.28,83,80,20.69,broken clouds
104,Kavieng,PG,-2.57,150.8,82.96,71,4,2.1,clear sky
105,Whitehorse,CA,60.72,-135.05,64.4,55,75,2.46,broken clouds
106,Manaure,CO,11.78,-72.44,84.18,75,51,13.09,broken clouds
107,Correntina,BR,-13.34,-44.64,81.36,33,60,4.16,broken clouds
108,Klaksvik,FO,62.23,-6.59,46.4,75,100,13.87,overcast clouds
109,Port Elizabeth,ZA,-33.92,25.57,55.4,93,0,4.7,clear sky
110,Flin Flon,CA,54.77,-101.86,60.8,67,75,10.29,broken clouds
111,Kandrian,PG,-6.22,149.55,78.89,83,53,7.25,light rain
112,Muros,ES,42.78,-9.06,64.99,82,1,1.01,clear sky
113,Fortuna,US,40.6,-124.16,66.99,72,40,13.87,scattered clouds
114,Rock Springs,US,41.59,-109.2,91.4,9,1,24.0,clear sky
115,Tuktoyaktuk,CA,69.45,-133.04,57.2,76,20,10.29,few clouds
116,Kruisfontein,ZA,-34.0,24.73,51.58,92,0,6.2,clear sky
117,Carlos Antonio Lopez,PY,-26.4,-54.77,52.56,69,0,2.19,clear sky
118,Tsogni,GA,-2.79,10.1,71.82,88,35,4.47,scattered clouds
119,Lagoa,PT,39.05,-27.98,72.54,82,69,9.86,broken clouds
120,Cidreira,BR,-30.18,-50.21,53.38,72,0,5.91,clear sky
121,Revda,RU,56.8,59.93,51.8,93,40,8.95,scattered clouds
122,Sechura,PE,-5.56,-80.82,71.55,57,12,16.62,few clouds
123,Catalao,BR,-18.17,-47.95,61.74,75,70,8.81,broken clouds
124,Castro,BR,-24.79,-50.01,45.75,92,15,7.65,few clouds
125,Novovarshavka,RU,54.17,74.69,53.53,92,60,5.91,broken clouds
126,Leh,IN,34.17,77.58,57.87,32,0,4.0,clear sky
127,Tessalit,ML,20.2,1.01,97.48,19,88,7.18,overcast clouds
128,Havre-Saint-Pierre,CA,50.23,-63.6,60.8,67,1,16.11,clear sky
129,Birjand,IR,32.87,59.22,82.4,10,0,13.87,clear sky
130,Jiutai,CN,44.15,125.83,64.4,82,40,4.47,scattered clouds
131,Myitkyina,MM,25.38,97.4,74.73,92,66,0.72,broken clouds
132,Aranos,NA,-24.13,19.12,56.26,38,0,11.43,clear sky
133,Torbay,CA,47.67,-52.73,69.01,49,20,5.82,few clouds
134,Canico,PT,32.63,-16.85,75.2,69,40,14.99,scattered clouds
135,Lata,PT,40.16,-8.33,64.99,79,0,3.51,clear sky
136,Mumford,GH,5.26,-0.76,74.14,92,16,8.52,few clouds
137,Puerto Ayora,EC,-0.74,-90.35,73.4,64,84,18.34,broken clouds
138,Nikolskoye,RU,59.7,30.79,64.4,68,97,6.71,overcast clouds
139,Ribeira Grande,PT,38.52,-28.7,73.04,80,25,9.71,scattered clouds
140,Carnarvon,AU,-24.87,113.63,64.4,88,93,11.41,overcast clouds
141,Portland,US,45.52,-122.68,78.01,50,20,10.29,few clouds
142,San Carlos De Bariloche,AR,-41.15,-71.31,57.2,26,0,14.99,clear sky
143,Arraial Do Cabo,BR,-22.97,-42.03,66.2,68,75,11.41,broken clouds
144,Ulaangom,MN,49.98,92.07,54.0,71,0,6.35,clear sky
145,Camacari,BR,-12.7,-38.32,78.8,69,20,8.05,few clouds
146,Ifakara,TZ,-8.13,36.68,74.89,51,91,3.04,overcast clouds
147,Baruun-Urt,MN,46.68,113.28,53.38,95,64,6.8,broken clouds
148,Kushiro,JP,42.98,144.37,64.94,89,99,6.22,overcast clouds
149,Magadan,RU,59.57,150.8,47.7,54,100,8.21,overcast clouds
150,Brookhaven,US,31.58,-90.44,89.6,43,1,8.05,clear sky
151,Broken Hill,AU,-31.95,141.43,39.2,86,3,8.05,clear sky
152,Verkhoyansk,RU,67.54,133.38,39.67,73,81,2.73,broken clouds
153,Rosarito,MX,32.33,-117.03,87.8,55,5,12.75,clear sky
154,Shimanovsk,RU,52.0,127.7,59.99,92,0,3.71,clear sky
155,Najran,SA,17.49,44.13,86.0,23,3,3.62,clear sky
156,Grand Gaube,MU,-20.01,57.66,69.01,77,11,5.99,light rain
157,Half Moon Bay,US,37.46,-122.43,87.01,50,20,6.93,smoke
158,Abu Samrah,SY,35.3,37.18,71.46,67,0,6.58,clear sky
159,Coquimbo,CL,-29.95,-71.34,51.8,87,90,9.17,overcast clouds
160,Soe,ID,-9.86,124.28,62.49,65,0,4.65,clear sky
161,Avarua,CK,-21.21,-159.78,77.0,69,11,17.22,few clouds
162,Gravdal,NO,68.12,13.5,56.48,92,100,14.47,overcast clouds
163,Neryungri,RU,56.67,124.65,48.54,84,14,1.9,few clouds
164,Vologda,RU,59.22,39.89,58.33,90,48,4.79,scattered clouds
