City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Izmit,TR,2020-08-21 00:47:27,40.77,29.92,57.2,100,0,2.91
1,New Norfolk,AU,2020-08-21 00:48:03,-42.78,147.06,48.0,80,96,1.01
2,Hamilton,US,2020-08-21 00:44:53,39.18,-84.53,75.2,60,1,3.36
3,Puerto Ayora,EC,2020-08-21 00:48:03,-0.74,-90.35,66.0,89,65,7.0
4,Omsukchan,RU,2020-08-21 00:48:03,62.53,155.8,45.73,86,100,7.87
5,Zurrieq,MT,2020-08-21 00:48:03,35.83,14.47,79.0,88,0,1.12
6,Krasnoselkup,RU,2020-08-21 00:43:52,65.7,82.47,56.98,87,0,8.93
7,Ushuaia,AR,2020-08-21 00:48:04,-54.8,-68.3,42.8,75,40,13.87
8,Rikitea,PF,2020-08-21 00:48:04,-23.12,-134.97,66.76,80,100,26.35
9,Hermanus,ZA,2020-08-21 00:48:04,-34.42,19.23,46.99,96,0,6.85
10,Busselton,AU,2020-08-21 00:48:04,-33.65,115.33,48.99,84,100,6.49
11,Cape Town,ZA,2020-08-21 00:46:34,-33.93,18.42,55.0,100,0,8.05
12,Kassala,SD,2020-08-21 00:48:04,15.45,36.4,81.03,76,90,8.03
13,Tobetsu,JP,2020-08-21 00:48:04,43.22,141.52,71.01,77,75,6.93
14,Bengkulu,ID,2020-08-21 00:48:04,-3.8,102.27,79.83,74,75,3.47
15,Dikson,RU,2020-08-21 00:48:04,73.51,80.55,44.04,78,0,16.98
16,Longyearbyen,SJ,2020-08-21 00:48:04,78.22,15.64,41.0,86,75,5.82
17,Vaini,TO,2020-08-21 00:48:04,-21.2,-175.2,80.6,83,75,8.05
18,Tiznit,MA,2020-08-21 00:48:04,29.58,-9.5,72.59,48,0,2.21
19,Porto Novo,BJ,2020-08-21 00:48:04,6.5,2.6,75.2,94,40,8.05
20,Thompson,CA,2020-08-21 00:48:04,55.74,-97.86,77.0,41,40,12.75
21,Terme,TR,2020-08-21 00:48:05,41.21,36.97,73.4,73,75,8.05
22,Tuktoyaktuk,CA,2020-08-21 00:48:05,69.45,-133.04,55.4,71,90,10.29
23,Emba,KZ,2020-08-21 00:48:05,48.83,58.14,54.9,68,36,2.51
24,Sept-Iles,CA,2020-08-21 00:48:05,50.2,-66.38,63.0,51,20,6.93
25,Mar Del Plata,AR,2020-08-21 00:48:05,-38.0,-57.56,48.0,60,0,9.17
26,Luanda,AO,2020-08-21 00:43:43,-8.84,13.23,69.8,94,20,5.82
27,Tenenkou,ML,2020-08-21 00:48:05,14.46,-4.92,83.21,63,89,7.83
28,Katsuura,JP,2020-08-21 00:48:05,35.13,140.3,91.0,79,20,8.05
29,Santa Lucia,ES,2020-08-21 00:48:05,27.91,-15.54,75.2,31,0,14.99
30,Beloha,MG,2020-08-21 00:43:36,-25.17,45.05,64.78,73,87,6.26
31,Athabasca,CA,2020-08-21 00:48:05,54.72,-113.29,70.43,63,100,6.15
32,Jamestown,US,2020-08-21 00:46:35,42.1,-79.24,71.6,49,1,5.82
33,Faanui,PF,2020-08-21 00:48:05,-16.48,-151.75,77.68,79,16,23.26
34,Almeirim,BR,2020-08-21 00:48:05,-1.52,-52.58,78.67,55,0,2.73
35,Qaanaaq,GL,2020-08-21 00:48:05,77.48,-69.36,42.93,77,100,3.0
36,Yellowknife,CA,2020-08-21 00:48:06,62.46,-114.35,59.0,51,20,3.36
37,Kodiak,US,2020-08-21 00:45:30,57.79,-152.41,75.2,38,1,12.75
38,San Policarpo,PH,2020-08-21 00:48:06,12.18,125.51,83.17,72,100,3.94
39,Abalak,RU,2020-08-21 00:48:06,58.13,68.59,49.32,98,98,4.41
40,Karratha,AU,2020-08-21 00:48:06,-20.74,116.85,77.9,19,0,14.12
41,Tongzi,CN,2020-08-21 00:48:06,28.78,105.09,78.87,73,0,1.12
42,Bambous Virieux,MU,2020-08-21 00:48:06,-20.34,57.76,70.0,77,20,8.05
43,Shache,CN,2020-08-21 00:48:06,38.42,77.24,71.02,36,94,4.41
44,Carnarvon,AU,2020-08-21 00:45:55,-24.87,113.63,64.4,88,94,6.93
45,Grimstad,NO,2020-08-21 00:48:06,58.34,8.59,64.4,93,33,2.24
46,Grand Gaube,MU,2020-08-21 00:45:12,-20.01,57.66,70.0,59,11,4.0
47,Norman Wells,CA,2020-08-21 00:44:05,65.28,-126.83,66.2,45,40,16.11
48,Tezu,IN,2020-08-21 00:43:12,27.92,96.17,74.73,86,100,1.9
49,Mataura,NZ,2020-08-21 00:48:06,-46.19,168.86,49.1,88,100,2.3
50,Palmer,US,2020-08-21 00:48:06,42.16,-72.33,71.6,49,20,2.66
51,Cayenne,GF,2020-08-21 00:43:45,4.93,-52.33,78.8,88,0,1.12
52,Albany,US,2020-08-21 00:48:07,42.6,-73.97,66.99,59,0,2.44
53,Saint-Philippe,RE,2020-08-21 00:48:07,-21.36,55.77,68.0,49,21,10.29
54,Vila Franca Do Campo,PT,2020-08-21 00:48:07,37.72,-25.43,71.6,94,40,8.05
55,Provideniya,RU,2020-08-21 00:48:07,64.38,-173.3,55.4,66,99,15.66
56,Seymchan,RU,2020-08-21 00:48:07,62.88,152.43,39.72,79,100,18.86
57,Natal,BR,2020-08-21 00:46:09,-5.79,-35.21,77.0,83,20,12.75
58,Bathsheba,BB,2020-08-21 00:48:07,13.22,-59.52,80.6,88,75,10.29
